Date,Price XSD2,Price DAX
5/10/10,3973.5,6017.91
5/11/10,3899.5,6037.71
5/12/10,3714.5,6183.49
5/13/10,3669,6251.97
5/14/10,3781,6056.71
5/17/10,3861,6066.92
5/18/10,3758.5,6155.93
5/19/10,3969,5988.67
5/20/10,4151,5867.88
5/21/10,4260.5,5829.25
5/24/10,4216.5,5805.68
5/25/10,4385,5670.04
5/26/10,4229,5758.02
5/27/10,3970.5,5937.14
5/28/10,3981.5,5946.18
6/1/10,3856.5,5981.27
6/2/10,3841.5,5981.2
6/3/10,3744,6054.63
6/4/10,3857.5,5938.88
6/7/10,3890.5,5904.95
6/8/10,3974,5868.55
6/9/10,3782,5984.75
6/10/10,3698.5,6056.59
6/11/10,3729.5,6047.83
6/14/10,3643.5,6125
6/15/10,3578,6175.05
6/16/10,3558,6190.91
6/17/10,3533.5,6223.54
6/18/10,3548,6216.98
6/21/10,3459,6292.97
6/22/10,3461.5,6269.04
6/23/10,3494,6204.52
6/24/10,3607.5,6115.48
6/25/10,3657.5,6070.6
6/28/10,3527,6157.22
6/29/10,3722.5,5952.03
6/30/10,3767,5965.52
7/1/10,3911.5,5857.43
7/2/10,3973,5834.15
7/5/10,3995,5816.2
7/6/10,3842.5,5940.98
7/7/10,3771,5992.86
7/8/10,3748.5,6035.66
7/9/10,3707.5,6065.24
7/12/10,3692,6077.19
7/13/10,3555.5,6191.13
7/14/10,3522,6209.76
7/15/10,3605,6149.36
7/16/10,3756.5,6040.27
7/19/10,3824.5,6009.11
7/20/10,3856,5967.49
7/21/10,3814,5990.38
7/22/10,3638.5,6142.15
7/23/10,3550.5,6166.34
7/26/10,3539.5,6194.21
7/27/10,3509.5,6207.31
7/28/10,3536.5,6178.94
7/29/10,3608,6134.7
7/30/10,3555.5,6147.97
8/2/10,3389.5,6292.13
8/3/10,3368.5,6307.91
8/4/10,3336.5,6331.33
8/5/10,3344.5,6333.58
8/6/10,3423.5,6259.63
8/9/10,3318.5,6351.6
8/10/10,3390,6286.25
8/11/10,3497.5,6154.07
8/12/10,3529,6135.17
8/13/10,3533.5,6110.41
8/16/10,3527,6110.57
8/17/10,3456.5,6206.4
8/18/10,3469,6186.31
8/19/10,3579,6075.13
8/20/10,3646.5,6005.16
8/23/10,3626.5,6010.91
8/24/10,3743,5935.44
8/25/10,3774,5899.5
8/26/10,3752,5912.58
8/27/10,3734.5,5951.17
8/31/10,3793.5,5925.22
9/1/10,3591,6083.9
9/2/10,3602.5,6083.85
9/3/10,3544.5,6134.62
9/6/10,3533,6155.04
9/7/10,3550,6117.89
9/8/10,3458,6164.44
9/9/10,3403,6221.52
9/10/10,3432,6214.77
9/13/10,3403,6261.68
9/14/10,3397.5,6275.41
9/15/10,3390,6261.87
9/16/10,3426.5,6249.65
9/17/10,3459.5,6209.76
9/20/10,3386.5,6294.58
9/21/10,3417.5,6275.98
9/22/10,3548.5,6208.33
9/23/10,3541.5,6184.71
9/24/10,3428,6298.3
9/27/10,3442,6278.89
9/28/10,3473,6276.09
9/29/10,3519.5,6246.92
9/30/10,3560,6229.02
10/1/10,3590.5,6211.34
10/4/10,3661,6134.21
10/5/10,3582,6215.83
10/6/10,3541.5,6270.73
10/7/10,3534.5,6276.25
10/8/10,3514.5,6291.67
10/11/10,3491,6309.51
10/12/10,3507,6304.57
10/13/10,3387,6434.52
10/14/10,3354.5,6455.27
10/15/10,3297.5,6492.3
10/18/10,3286.5,6516.63
10/19/10,3308,6490.69
10/20/10,3285.5,6524.55
10/21/10,3220,6611.01
10/22/10,3226.5,6605.84
10/25/10,3193.5,6639.21
10/26/10,3166.5,6613.8
10/27/10,3206.5,6568
10/28/10,3179,6595.28
10/29/10,3162.5,6601.37
11/1/10,3147,6604.86
11/2/10,3135.5,6654.31
11/3/10,3156.5,6617.8
11/4/10,3053,6734.69
11/5/10,3009,6754.2
11/8/10,2992.5,6750.5
11/9/10,2974,6787.81
11/10/10,2989.5,6719.84
11/11/10,2964.5,6723.41
11/12/10,2962,6734.61
11/15/10,2906,6790.17
11/16/10,3030.5,6663.24
11/17/10,2988.5,6700.07
11/18/10,2874.9099,6832.11
11/19/10,2881.3601,6843.55
11/22/10,2893.6799,6822.05
11/23/10,2964.55,6705
11/24/10,2866.6299,6823.8
11/25/10,2822.25,6879.66
11/26/10,2845.5701,6848.98
11/29/10,2949.71,6697.97
11/30/10,2939.8301,6688.49
12/1/10,2797.21,6866.63
12/2/10,2749.3301,6957.61
12/3/10,2765.76,6947.72
12/6/10,2744.21,6954.38
12/7/10,2694.8701,7001.91
12/8/10,2702.22,6975.87
12/9/10,2708.9199,6964.16
12/10/10,2674.0601,7006.17
12/13/10,2673.9399,7029.39
12/14/10,2690.98,7027.4
12/15/10,2712.5901,7016.37
12/16/10,2683.22,7024.4
12/17/10,2726.79,6982.45
12/20/10,2689.75,7018.6
12/21/10,2652.1899,7077.99
12/22/10,2663.1699,7067.92
12/23/10,2673.48,7057.69
12/29/10,2721.8401,6995.47
12/30/10,2856.1101,6914.19
1/4/11,2741.02,6975.35
1/5/11,2756.97,6939.82
1/6/11,2692.23,6981.39
1/7/11,2695.0901,6947.84
1/10/11,2759.5901,6857.06
1/11/11,2690.6001,6941.57
1/12/11,2594.49,7068.78
1/13/11,2619.9199,7075.11
1/14/11,2613.5,7075.7
1/17/11,2600.1399,7078.06
1/18/11,2559.49,7143.45
1/19/11,2616.28,7082.76
1/20/11,2670.3301,7024.27
1/21/11,2650.26,7062.42
