Date,XSD2 Price,DAX Price
5/31/10,3981.5,5964.33
6/30/10,3767,5965.52
7/30/10,3555.5,6147.97
8/31/10,3793.5,5925.22
9/30/10,3560,6229.02
10/29/10,3162.5,6601.37
11/30/10,2939.8301,6688.49
12/31/10,2856.1101,6914.19
1/31/11,2650.49,7077.48
2/28/11,2489.5901,7272.32
3/31/11,2717.95,7041.31
4/29/11,2418.7251,7514.46
5/31/11,2485.21,7293.69
6/30/11,2498.29,7376.24
7/29/11,2545.1851,7158.77
8/31/11,3748.3401,5784.85
9/30/11,3849.325,5502.02
10/31/11,2930.0349,6141.34
11/30/11,2869.0349,6088.84
12/30/11,2971.4299,5898.35
1/31/12,2403.5,6458.91
2/29/12,2149,6856.08
3/30/12,2048.5,6946.83
4/30/12,2081.5,6761.19
5/31/12,2387.5,6264.38
6/29/12,2243.5,6416.28
7/31/12,1915.5,6772.26
8/31/12,1818,6970.79
9/28/12,1681.5,7216.15
10/31/12,1667.5,7260.63
11/30/12,1606.5,7405.5
12/31/12,1519.5,7612.39
1/31/13,1524.5,7776.05
2/28/13,1536,7741.7
3/29/13,1483.5,7795.31
4/30/13,1424,7913.71
5/31/13,1280,8348.84
6/28/13,1398,7959.22
7/31/13,1318.5,8275.97
8/30/13,1323.5,8103.15
9/30/13,1151.5,8594.4
10/31/13,1050,9033.92
11/29/13,946.125,9405.3
12/31/13,907.75,9552.16
1/31/14,939.75,9306.48
2/28/14,872.875,9692.08
3/31/14,882.5,9555.91
4/30/14,865,9603.23
5/30/14,797.5,9943.27
6/30/14,796.625,9833.07
7/31/14,856.875,9407.48
8/29/14,845.375,9470.17
9/30/14,817,9474.3
10/31/14,839.75,9326.87
11/28/14,737.5,9980.85
12/31/14,735.125,9805.55
1/30/15,588.75,10694.32
2/27/15,498.55,11401.66
3/31/15,443.6,11966.17
4/30/15,480.95,11454.38
5/29/15,472.8,11413.82
6/30/15,494.55,10944.97
7/31/15,458.65,11308.99
8/31/15,556.375,10259.46
9/30/15,620.75,9660.44
10/30/15,471.9,10850.14
11/30/15,415.8,11382.23
12/31/15,484.1,10743.01
1/29/16,590.25,9798.11
2/29/16,626.375,9495.4
3/31/16,565,9965.51
4/29/16,542,10038.97
5/31/16,503.625,10262.74
6/30/16,599.25,9680.09
7/29/16,525.125,10337.5
8/31/16,495.5,10592.69
9/30/16,509.75,10511.02
10/31/16,510.125,10665.01
11/30/16,482.9,10640.3
12/30/16,419.45,11481.06
1/31/17,408.75,11535.31
2/28/17,385.4,11834.41
3/31/17,355.15,12312.87
4/28/17,339.9,12438.01
5/31/17,339.05,12615.06
6/30/17,358.05,12325.12
7/31/17,375.2,12118.25
8/31/17,387.5,12055.84
9/29/17,328.3,12828.86
10/31/17,303.1,13229.57
11/30/17,313.4,13023.98
12/29/17,319.75,12917.64
