Date,XSD2 Price,DAX Price,,
6/30/10,3767,5965.52,,
9/30/10,3560,6229.02,,
12/31/10,2856.1101,6914.19,,
3/31/11,2717.95,7041.31,,
6/30/11,2498.29,7376.24,,
9/30/11,3849.325,5502.02,,
12/30/11,2971.4299,5898.35,,
3/30/12,2048.5,6946.83,,
6/29/12,2243.5,6416.28,,
9/28/12,1681.5,7216.15,,
12/31/12,1519.5,7612.39,,
3/29/13,1483.5,7795.31,,
6/28/13,1398,7959.22,,
9/30/13,1151.5,8594.4,,
12/31/13,907.75,9552.16,,
3/31/14,882.5,9555.91,,
6/30/14,796.625,9833.07,,
9/30/14,817,9474.3,,
12/31/14,735.125,9805.55,,
3/31/15,443.6,11966.17,,
6/30/15,494.55,10944.97,,
9/30/15,620.75,9660.44,,
12/31/15,484.1,10743.01,,
3/31/16,565,9965.51,,
6/30/16,599.25,9680.09,,
9/30/16,509.75,10511.02,,
12/30/16,419.45,11481.06,,
3/31/17,355.15,12312.87,,
6/30/17,358.05,12325.12,,
9/29/17,328.3,12828.86,,
12/29/17,319.75,12917.64,,
