Date,XSD2 Price,DAX Price
5/14/10,3781,6056.71
5/21/10,4260.5,5829.25
5/28/10,3981.5,5946.18
6/4/10,3857.5,5938.88
6/11/10,3729.5,6047.83
6/18/10,3548,6216.98
6/25/10,3657.5,6070.6
7/2/10,3973,5834.15
7/9/10,3707.5,6065.24
7/16/10,3756.5,6040.27
7/23/10,3550.5,6166.34
7/30/10,3555.5,6147.97
8/6/10,3423.5,6259.63
8/13/10,3533.5,6110.41
8/20/10,3646.5,6005.16
8/27/10,3734.5,5951.17
9/3/10,3544.5,6134.62
9/10/10,3432,6214.77
9/17/10,3459.5,6209.76
9/24/10,3428,6298.3
10/1/10,3590.5,6211.34
10/8/10,3514.5,6291.67
10/15/10,3297.5,6492.3
10/22/10,3226.5,6605.84
10/29/10,3162.5,6601.37
11/5/10,3009,6754.2
11/12/10,2962,6734.61
11/19/10,2881.3601,6843.55
11/26/10,2845.5701,6848.98
12/3/10,2765.76,6947.72
12/10/10,2674.0601,7006.17
12/17/10,2726.79,6982.45
12/24/10,2678.97,7057.69
12/31/10,2856.1101,6914.19
1/7/11,2695.0901,6947.84
1/14/11,2613.5,7075.7
1/21/11,2650.26,7062.42
1/28/11,2654.71,7102.8
2/4/11,2524.28,7216.21
2/11/11,2419.1799,7371.2
2/18/11,2376.2251,7426.81
2/25/11,2571.5801,7185.17
3/4/11,2590.905,7178.9
3/11/11,2741.9951,6981.49
3/18/11,3015,6664.4
3/25/11,2780.6699,6946.36
4/1/11,2617.655,7179.81
4/8/11,2599.2949,7217.02
4/15/11,2623.4951,7178.29
4/22/11,2506.2549,7295.49
4/29/11,2418.7251,7514.46
5/6/11,2388.4551,7492.25
5/13/11,2421.9851,7403.31
5/20/11,2507.9099,7266.82
5/27/11,2551.0701,7163.47
6/3/11,2664.47,7109.03
6/10/11,2664.9551,7069.9
6/17/11,2588.3799,7164.05
6/24/11,2626.5701,7121.38
7/1/11,2466.5449,7419.44
7/8/11,2429.2,7402.73
7/15/11,2509.8899,7220.12
7/22/11,2454.8401,7326.39
7/29/11,2545.1851,7158.77
8/5/11,3282.4451,6236.16
8/12/11,3507.9351,5997.74
8/19/11,4124.915,5480
8/26/11,4130.75,5537.48
9/2/11,4046.6399,5538.33
9/9/11,4450.125,5189.93
9/16/11,3910.075,5573.51
9/23/11,4417.25,5196.56
9/30/11,3849.325,5502.02
10/7/11,3548.5349,5675.7
10/14/11,3246.4099,5967.2
10/21/11,3195.9099,5970.96
10/28/11,2821.6101,6346.19
11/4/11,3051.9299,5966.16
11/11/11,2968.3701,6057.03
11/18/11,3208.335,5800.24
11/25/11,3575.1399,5492.87
12/2/11,2883.6499,6080.68
12/9/11,2944.1599,5986.71
12/16/11,3166.2749,5701.78
12/23/11,2965.8799,5878.93
12/30/11,2971.4299,5898.35
1/6/12,2742.5801,6057.92
1/13/12,2683.45,6143.08
1/20/12,2457.6599,6404.39
1/27/12,2391.5,6511.98
2/3/12,2189.5,6766.67
2/10/12,2251,6692.96
2/17/12,2137.5,6848.03
2/24/12,2164,6864.43
3/2/12,2087.5,6921.37
3/9/12,2102,6880.21
3/16/12,1937.5,7157.82
3/23/12,2029.5,6995.62
3/30/12,2048.5,6946.83
4/6/12,2126,6775.26
4/13/12,2244.5,6583.9
4/20/12,2115.5,6750.12
4/27/12,2068.5,6801.32
5/4/12,2199,6561.47
5/11/12,2165,6579.93
5/18/12,2385,6271.22
5/25/12,2307.5,6339.94
6/1/12,2530,6050.29
6/8/12,2484,6130.82
6/15/12,2395.5,6229.41
6/22/12,2360,6263.25
6/29/12,2243.5,6416.28
7/6/12,2198,6410.11
7/13/12,2086,6557.1
7/20/12,2001.5,6630.02
7/27/12,1980,6689.4
8/3/12,1872,6865.66
8/10/12,1809,6944.56
8/17/12,1765,7040.88
8/24/12,1814,6971.07
8/31/12,1818,6970.79
9/7/12,1694.5,7214.5
9/14/12,1628.5,7412.13
9/21/12,1590,7451.62
9/28/12,1681.5,7216.15
10/5/12,1630,7397.87
10/12/12,1688.5,7232.49
10/19/12,1645.5,7380.64
10/26/12,1684.5,7231.85
11/2/12,1619.5,7363.85
11/9/12,1697,7163.5
11/16/12,1808,6950.53
11/23/12,1648.5,7309.13
11/30/12,1606.5,7405.5
12/7/12,1556,7517.8
12/14/12,1532.5,7596.47
12/21/12,1514,7636.23
12/28/12,1557,7612.39
1/4/13,1460,7776.37
1/11/13,1506,7715.53
1/18/13,1523.5,7702.23
